ccown,ccowc,pais,continent,regio,poblacio,pibcap_2011,pibcap_1900,despesa_educacio,despesa_militar,religio_llib,n_aliances,confianca_altres,co2_capita,gini,democracia
670,SAU,Saudi Arabia,Asia,Middle East & North Africa,34.26852798461914,50304.75,NA,6.794740200042725,8.242799758911133,No,6,NA,14.619553565979,NA,0.0489999987185001
433,SEN,Senegal,Africa,Sub-Saharan Africa,16.29636383056641,2617.12451171875,NA,5.348879814147949,1.513479232788086,Sí,5,NA,0.6637175679206848,38.09999847412109,0.5730000138282776
NA,SRB,Serbia,NA,NA,6.994510173797607,14124.1181640625,NA,3.616470098495483,2.21441912651062,Sí,NA,0.17154077,6.616046905517578,34.5,0.2899999916553497
591,SYC,Seychelles,Africa,Sub-Saharan Africa,0.09773900359869,29531.060546875,NA,3.914589881896973,1.335361242294312,Sí,1,NA,6.24839973449707,32.09999847412109,0.4769999980926514
451,SLE,Sierra Leone,Africa,Sub-Saharan Africa,7.813214778900146,1683.849731445313,NA,7.447010040283203,0.6724772453308105,Sí,3,NA,0.1118453070521355,35.70000076293945,0.3799999952316284
830,SGP,Singapore,Asia,East Asia & Pacific,5.804337024688721,68402.34375,2206,2.736210107803345,2.795513868331909,Sí,1,0.34621871,8.307079315185547,NA,0.3170000016689301
317,SVK,Slovakia,Europe,Europe & Central Asia,5.457013130187988,27075.53515625,NA,4.290460109710693,1.711891174316406,Sí,16,0.21628948,5.698416233062744,23.20000076293945,0.7350000143051147
816,VNM,Viet Nam,Asia,East Asia & Pacific,96.46210479736328,6814.14208984375,NA,4.061970233917236,2.284569978713989,Sí,4,0.27666667,3.513275623321533,35.70000076293945,0.1260000020265579
349,SVN,Slovenia,Europe,Europe & Central Asia,2.078654050827026,29244.919921875,NA,4.910289764404297,1.057303428649902,Sí,4,0.25652063,6.512209415435791,24.39999961853027,0.7379999756813049
520,SOM,Somalia,Africa,Sub-Saharan Africa,NA,NA,NA,0.2700000107288361,NA,NA,3,NA,0.0431754626333714,36.79999923706055,0.0949999988079071
560,ZAF,South Africa,Africa,Sub-Saharan Africa,58.55826950073242,12165.794921875,1494,5.917709827423096,0.9779702425003052,Sí,3,NA,7.568640232086182,NA,0.609000027179718
552,ZWE,Zimbabwe,Africa,Sub-Saharan Africa,14.64546775817871,1611.405151367188,NA,3.86611008644104,0.534804105758667,Sí,2,0.021416804,0.7658938765525818,50.29999923706055,0.1949999928474426
230,ESP,Spain,Europe,Europe & Central Asia,46.73677444458008,31496.51953125,2676,4.234089851379395,1.233832240104675,Sí,17,0.41512868000000003,5.09135103225708,34.29999923706055,0.8050000071525574
626,SSD,South Sudan,Africa,Sub-Saharan Africa,NA,NA,NA,1.543900012969971,3.558184862136841,NA,3,NA,0.1627157777547836,44.09999847412109,0.063000001013279
625,SDN,Sudan (the),Africa,Sub-Saharan Africa,42.81323623657227,3379.595703125,NA,NA,1.644621133804321,Sí,6,NA,0.4769605100154877,NA,0.0970000028610229
115,SUR,Suriname,Americas,Latin America & Caribbean,0.5813720226287842,NA,NA,6.832260131835938,NA,Sí,1,NA,4.414452075958252,NA,0.6039999723434448
572,SWZ,Eswatini,Africa,Sub-Saharan Africa,1.148130059242249,8068.2119140625,NA,5.645549774169922,1.886147737503052,Sí,2,NA,0.8207842707633972,54.59999847412109,0.1190000027418137
380,SWE,Sweden,Europe,Europe & Central Asia,10.03637886047363,45541.890625,3320,7.638510227203369,1.093409180641174,Sí,2,0.63769877,3.405037879943848,29.29999923706055,0.8790000081062317
225,CHE,Switzerland,Europe,Europe & Central Asia,8.591364860534668,61372.73046875,6611.7783203125,5.093264102935791,0.6864296793937683,Sí,2,0.59283084,4.359041690826416,33.09999847412109,0.859000027179718
652,SYR,Syrian Arab Republic (the),Asia,Middle East & North Africa,17.07013511657715,3349.459716796875,NA,NA,NA,NA,3,NA,1.279215693473816,NA,0.0309999994933605
702,TJK,Tajikistan,Asia,Europe & Central Asia,9.32101821899414,4440.3818359375,NA,5.712900161743164,1.038329720497131,Sí,15,0.20583333,1.008889079093933,NA,0.0469999983906746
800,THA,Thailand,Asia,East Asia & Pacific,69.625579833984375,16648.623046875,NA,3.020620107650757,1.352707862854004,Sí,5,0.30573332,3.74559497833252,34.90000152587891,0.1780000030994415
461,TGO,Togo,Africa,Sub-Saharan Africa,8.082365989685059,1451.36083984375,NA,4.069139957427979,3.146217107772827,Sí,5,NA,0.2875133752822876,42.40000152587891,0.1739999949932098
955,TON,Tonga,Oceania,East Asia & Pacific,NA,NA,NA,7.959630012512207,NA,Sí,1,NA,1.524520874023438,NA,NA
52,TTO,Trinidad and Tobago,Americas,Latin America & Caribbean,1.394973039627075,28549.408203125,NA,3.698090076446533,0.7079477310180664,Sí,2,NA,11.30954551696777,NA,0.6439999938011169
696,ARE,United Arab Emirates (the),Asia,Middle East & North Africa,9.77052879333496,76397.8203125,NA,3.867369890213013,NA,Sí,4,NA,20.50228309631348,26,0.0900000035762787
616,TUN,Tunisia,Africa,Middle East & North Africa,11.6947193145752,11353.88671875,NA,7.324349880218506,2.5645592212677,NA,7,0.14249147,2.482299089431763,NA,0.6430000066757202
640,TUR,Turkey,Asia,Europe & Central Asia,83.42961120605469,19270.220703125,NA,4.447780132293701,2.689873456954956,Sí,17,0.14261603,4.753617763519287,41.90000152587891,0.1080000028014183
701,TKM,Turkmenistan,Asia,Europe & Central Asia,5.942089080810547,26318.365234375,NA,3.120650053024292,NA,NA,11,NA,11.83258056640625,NA,0.0439999997615814
947,TUV,Tuvalu,Oceania,East Asia & Pacific,NA,NA,NA,NA,NA,Sí,1,NA,0.9127418398857116,NA,NA
500,UGA,Uganda,Africa,Sub-Saharan Africa,44.26959228515625,2045.420288085938,NA,1.529999971389771,1.769798040390015,Sí,4,NA,0.1364406496286392,42.70000076293945,0.2280000001192093
369,UKR,Ukraine,Europe,Europe & Central Asia,43.99363708496094,9813.36328125,NA,5.441299915313721,3.52015233039856,Sí,35,0.29389444,3.936583518981934,26.60000038146973,0.2919999957084656
