Renda familiar disponible bruta (RFDB). Revisió estadística 2019. Índex
Municipis. 2019
Font: Idescat.
Nota: Any 2019. Dades provisionals.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=rfdbc&n=13301&by=mun
Codi,Literal,RFDB milers d'euros,RFDB per habitant. Milers d'euros,RFDB per habitant. Índex Catalunya = 100
082922,Vallbona d'Anoia,23866,17.5,95.9,
252402,Vallfogona de Balaguer,28300,15.2,83.3,
082943,Vallgorguina,53599,18.3,100.3,
082956,Vallirana,282502,18.8,103.1,
431606,Vallmoll,31298,17.7,97.0,
082969,Vallromanes,64773,25.3,138.8,
431613,Valls,402746,16.4,90.2,
431628,Vandellòs i l'Hospitalet de l'Infant,99192,15.1,82.7,
431634,"Vendrell, el",590026,15.6,85.7,
172116,Verges,19554,17.0,93.2,
082981,Vic,798811,17.2,94.6,
172137,Vidreres,123874,16.0,88.1,
252430,Vielha e Mijaran,91247,16.5,90.8,
172155,Vilablareix,58241,20.1,110.4,
083015,Viladecans,1161881,17.5,96.1,
083008,Viladecavalls,148128,19.7,108.2,
172207,Viladrau,18720,18.2,99.7,
172214,Vilafant,86742,16.4,90.2,
083054,Vilafranca del Penedès,669098,16.7,91.9,
172235,Vilajuïga,17625,16.3,89.3,
431665,Vilallonga del Camp,37880,15.8,86.5,
172266,Vilamalla,17209,15.0,82.6,
252483,Vilanova de Bellpuig,17184,14.4,78.9,
252542,Vilanova de la Barca,16395,15.7,86.1,
083020,Vilanova del Camí,183796,14.7,80.5,
089024,Vilanova del Vallès,124730,22.9,125.5,
083073,Vilanova i la Geltrú,1170301,17.7,97.2,
431704,Vila-rodona,18992,15.0,82.1,
431711,Vila-seca,321873,14.3,78.7,
082140,Vilassar de Dalt,192942,21.6,118.4,
082191,Vilassar de Mar,439415,21.3,116.6,
172333,Vilobí d'Onyar,57413,17.7,97.0,
083041,Vilobí del Penedès,19139,17.3,95.1,
431785,Vinyols i els Arcs,32190,15.3,84.0,
430521,Xerta,17495,15.1,82.9,
,Catalunya,139741988,18.2,100.0,

