Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2021,"Arts escèniques",Privada,Festivals,7,"L'Altre Festival",25/6/2021,27/6/2021,3021,,"Fabrar i Coats","Associació Socio Cultural l'Altre Festival",Presencial
2021,Música,Municipal,Festivals,4,"L'Estiu, al Pati!",10/7/2021,1/8/2021,,,,"Ajuntament de Barcelona",
2021,Audiovisuals,Privada,Festivals,3,"La GRAN Pantalla",1/7/2021,4/7/2021,1200,,"Cinemes Girona",elParlante,"Format mixt, amb activitats presencials i virtuals"
2021,Audiovisuals,Privada,Festivals,9,"La mida no importa",21/1/2021,23/1/2021,280,,"Auditori Meier del MACBA","Ass. SLOWCUrT i Casal del barri del Raval","A banda del públic presencial, van registrar-se 60 usuaris en línia"
2021,Música,Privada,Festivals,,"La Pedrera Jazz",4/6/2021,30/7/2021,,,,"Fundació Catalunya - La Pedrera",
2021,Lletres,Privada,Festivals,5,"La setmana de l'àlbum",5/11/2021,14/11/2021,1000,200,"Diversos espais de la ciutat",ALBUM,"A banda del públic presencial, van registrar-se 250 usuaris en línia"
2021,"Multidisciplinaris i altres",Privada,Festivals,26,"La Setmana de la Ciència ",12/11/2021,21/11/2021,,,,"Fundació Recerca",
2021,Música,"Pública no municipal",Festivals,,"Les nits del Palau Güell",1/7/2021,22/7/2021,,,,"Palau Güell",
2021,Lletres,Privada,Fires,,Liber,13/10/2021,15/10/2021,,,,"Fed.gremio editories España",
2021,Música,Privada,Festivals,,"LIED Festival Victoria de los Ángeles",27/9/2021,20/12/2021,,,,"Fund. Victoria de los Ángeles",
2021,Lletres,Privada,Fires,7,Literal,22/5/2021,23/5/2021,7000,,"Fabra i Coats","KULT (Cultura21 SCCL), Tigre de Paper Edicions, Bellaterra Edicions, Triangular Edicions, Llibreria La Carbonera, Ateneu L'Harmonia, Biblioteques de Barcelona, Münster Studio","A banda del públic presencial, van registrar-se 12.000 usuaris en línia"
2021,"Multidisciplinaris i altres",Municipal,Festivals,10,"Llum BCN",5/11/2021,7/11/2021,117200,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",Presencial
2021,"Arts visuals",Privada,Fires,19,"Loop Fair",16/11/2021,18/11/2021,,,,"Screen Projects S.L.",
2021,"Arts visuals",Privada,Festivals,19,"Loop Festival",9/11/2021,21/11/2021,,,,"Screen Projects S.L.","Format mixt, amb activitats presencials i virtuals"
2021,"Arts escèniques",Privada,Festivals,12,"Màgicus. Festival de Màgia Jove de Barcelona",8/11/2021,14/11/2021,205,,"Teatre dels Lluïsos de Gràcia","Lluïsos de Gràcia",Presencial
2021,Música,Privada,Festivals,4,"Mahou Rock&Grill",10/6/2021,26/8/2021,5153,,"Poble Espanyol","Poble Espanyol de Barcelona",Presencial
