Migracions. Totals
Municipis. 2021
Font: Idescat, a partir de l'Estadística de variacions residencials de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=mm&n=5489&by=mun
Codi;Literal;Migracions internes  amb la resta de Catalunya  immigracions;Migracions internes  amb la resta de Catalunya  emigracions;Migracions internes  amb la resta de Catalunya  saldo migratori;Migracions internes  amb la resta d'Espanya  immigracions;Migracions internes  amb la resta d'Espanya  emigracions;Migracions internes  amb la resta d'Espanya  saldo migratori;Migracions externes  immigracions;Migracions externes  emigracions;Migracions externes  saldo migratori;Saldo migratori total
259084;Fígols i Alinyà;16;9;7;2;0;2;3;0;3;12;
430580;Figuera, la;7;5;2;0;0;0;4;0;4;6;
170669;Figueres;1443;1623;-180;345;362;-17;968;678;290;93;
430593;Figuerola del Camp;15;19;-4;2;5;-3;5;1;4;-3;
170675;Flaçà;53;73;-20;1;4;-3;12;7;5;-18;
430607;Flix;99;105;-6;37;32;5;55;38;17;16;
250925;Floresta, la;11;6;5;1;0;1;0;0;0;6;
080826;Fogars de la Selva;121;90;31;4;10;-6;8;18;-10;15;
080811;Fogars de Montclús;51;16;35;1;2;-1;0;7;-7;27;
170681;Foixà;9;16;-7;0;3;-3;2;2;0;-10;
080832;Folgueroles;57;73;-16;1;2;-1;6;0;6;-11;
250931;Fondarella;22;31;-9;1;1;0;8;5;3;-6;
080847;Fonollosa;111;61;50;6;6;0;8;1;7;57;
170694;Fontanals de Cerdanya;70;40;30;4;3;1;2;2;0;31;
170708;Fontanilles;11;4;7;0;1;-1;3;0;3;9;
170715;Fontcoberta;49;49;0;1;0;1;5;5;0;1;
080850;Font-rubí;56;70;-14;4;2;2;31;9;22;10;
250946;Foradada;27;22;5;5;4;1;3;0;3;9;
179026;Forallac;139;83;56;5;5;0;16;8;8;64;
430614;Forès;4;5;-1;0;0;0;2;0;2;1;
170736;Fornells de la Selva;102;98;4;2;25;-23;24;16;8;-11;
170741;Fortià;53;63;-10;3;2;1;8;0;8;-1;
080863;Franqueses del Vallès, les;981;973;8;86;111;-25;223;235;-12;-29;
430629;Freginals;21;26;-5;4;6;-2;17;2;15;8;
250962;Fuliola, la;36;36;0;4;7;-3;17;28;-11;-14;
250978;Fulleda;8;3;5;0;0;0;0;2;-2;3;
080902;Gaià;10;24;-14;0;0;0;3;0;3;-11;
430635;Galera, la;24;38;-14;1;7;-6;10;1;9;-11;
080879;Gallifa;10;13;-3;0;1;-1;5;0;5;1;
430640;Gandesa;98;55;43;15;25;-10;32;32;0;33;
430653;Garcia;27;38;-11;4;1;3;9;0;9;1;
430666;Garidells, els;6;7;-1;0;0;0;0;0;0;-1;
080885;Garriga, la;664;618;46;63;99;-36;171;123;48;58;
170754;Garrigàs;28;36;-8;0;7;-7;7;0;7;-8;
170767;Garrigoles;19;4;15;0;0;0;5;0;5;20;
170773;Garriguella;67;40;27;3;5;-2;19;9;10;35;
080898;Gavà;1821;1845;-24;277;302;-25;595;519;76;27;
250984;Gavet de la Conca;7;12;-5;0;1;-1;1;0;1;-5;
080919;Gelida;403;348;55;31;36;-5;83;37;46;96;
170789;Ger;32;23;9;5;0;5;1;1;0;14;
259123;Gimenells i el Pla de la Font;49;41;8;3;16;-13;9;5;4;-1;
430672;Ginestar;26;23;3;0;1;-1;16;10;6;8;
170792;Girona;4121;4362;-241;842;687;155;1927;2020;-93;-179;
080924;Gironella;196;161;35;14;30;-16;62;7;55;74;
080930;Gisclareny;2;2;0;0;1;-1;0;0;0;-1;
430688;Godall;14;16;-2;4;4;0;1;0;1;-1;
250997;Golmés;91;71;20;12;10;2;26;1;25;47;
170806;Gombrèn;15;11;4;1;0;1;0;0;0;5;
251001;Gósol;12;17;-5;0;1;-1;6;0;6;0;
080945;Granada, la;118;127;-9;8;7;1;20;17;3;-5;
251018;Granadella, la;30;20;10;7;1;6;6;1;5;21;
080958;Granera;4;8;-4;0;0;0;0;0;0;-4;
251023;Granja d'Escarp, la;12;24;-12;14;12;2;34;27;7;-3;
080961;Granollers;2517;2709;-192;396;413;-17;1020;964;56;-153;
251039;Granyanella;0;9;-9;1;0;1;1;0;1;-7;
251057;Granyena de les Garrigues;6;10;-4;0;0;0;1;0;1;-3;
251044;Granyena de Segarra;7;8;-1;0;0;0;2;0;2;1;
430691;Gratallops;11;14;-3;0;1;-1;4;2;2;-2;
080977;Gualba;110;99;11;4;5;-1;10;1;9;19;
170813;Gualta;28;27;1;2;0;2;27;9;18;21;
080996;Guardiola de Berguedà;46;63;-17;5;5;0;17;2;15;-2;
430705;Guiamets, els;17;9;8;0;0;0;0;0;0;8;
170828;Guils de Cerdanya;29;37;-8;1;8;-7;4;7;-3;-18;
251095;Guimerà;10;13;-3;3;1;2;10;0;10;9;
259031;Guingueta d'Àneu, la;18;19;-1;0;1;-1;3;1;2;0;
251109;Guissona;198;222;-24;82;40;42;196;151;45;63;
251116;Guixers;12;5;7;0;0;0;0;0;0;7;
081000;Gurb;107;116;-9;1;7;-6;10;6;4;-11;
430712;Horta de Sant Joan;26;19;7;13;5;8;7;0;7;22;
081017;Hospitalet de Llobregat, l';12294;14350;-2056;1997;2196;-199;6957;937;6020;3765;
081629;Hostalets de Pierola, els;213;153;60;9;23;-14;24;2;22;68;
170834;Hostalric;243;211;32;16;22;-6;42;22;20;46;
081022;Igualada;1387;1505;-118;226;270;-44;565;271;294;132;
251155;Isona i Conca Dellà;44;33;11;6;3;3;15;18;-3;11;
170849;Isòvol;35;21;14;2;5;-3;2;1;1;12;
251137;Ivars d'Urgell;63;60;3;11;6;5;27;15;12;20;
251121;Ivars de Noguera;10;14;-4;0;0;0;5;0;5;1;
