Residus municipals. Generació. Total registrat i generació per càpita
Municipis. 2019
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&by=mun&t=201900
Codi,Literal,Total kg/hab./dia,Recollida no selectiva,Recollida selectiva,Total
250851,Estaràs,1.63,59.73,36.88,96.61,
250864,Esterri d'Àneu,2.13,242.91,356.49,599.40,
250870,Esterri de Cardós,2.36,31.96,28.40,60.36,
430555,Falset,1.39,605.70,829.06,1434.76,
170059,"Far d'Empordà, el",1.33,196.54,95.06,291.60,
250899,Farrera,2.45,55.42,48.35,103.77,
430568,"Fatarella, la",1.07,194.57,172.61,367.18,
430574,"Febró, la",1.93,10.15,17.97,28.12,
081347,Figaró-Montmany,1.05,187.13,240.20,427.33,
080804,Fígols,0.73,6.04,5.18,11.22,
259084,Fígols i Alinyà,0.71,45.10,20.58,65.68,
430580,"Figuera, la",1.45,44.65,13.90,58.55,
170669,Figueres,1.27,15540.25,6100.66,21640.91,
430593,Figuerola del Camp,1.24,85.00,59.81,144.81,
170675,Flaçà,1.24,303.36,189.41,492.77,
430607,Flix,1.26,739.42,832.00,1571.42,
250925,"Floresta, la",1.02,25.38,29.19,54.57,
080826,Fogars de la Selva,2.01,684.02,378.58,1062.60,
080811,Fogars de Montclús,2.01,147.64,196.65,344.29,
170681,Foixà,1.74,132.10,56.99,189.09,
080832,Folgueroles,0.84,101.16,596.83,697.99,
250931,Fondarella,1.60,214.25,243.43,457.68,
080847,Fonollosa,1.31,358.93,333.91,692.84,
170694,Fontanals de Cerdanya,2.80,340.34,112.70,453.04,
170708,Fontanilles,3.71,125.76,62.69,188.45,
170715,Fontcoberta,1.24,348.27,315.10,663.37,
080850,Font-rubí,1.51,425.00,306.08,731.08,
250946,Foradada,1.16,31.49,47.28,78.77,
179026,Forallac,2.49,605.54,928.66,1534.20,
430614,Forès,2.07,12.22,20.30,32.52,
170736,Fornells de la Selva,1.16,608.34,509.00,1117.34,
170741,Fortià,1.76,217.16,272.52,489.68,
080863,"Franqueses del Vallès, les",1.14,5095.72,3276.55,8372.27,
430629,Freginals,1.67,70.05,140.87,210.92,
250962,"Fuliola, la",1.33,428.50,178.88,607.38,
250978,Fulleda,1.06,18.21,14.82,33.03,
080902,Gaià,1.48,56.00,38.22,94.22,
430635,"Galera, la",1.27,135.21,203.79,339.00,
080879,Gallifa,1.26,52.50,26.82,79.32,
430640,Gandesa,0.94,431.91,623.21,1055.12,
