Indicadors socioeconòmics. Valors
Municipis. 2019 (p)
Unitats: %.
Font: Idescat. Índex socioeconòmic territorial
Nota: La renda mitjana per persona s'expressa en euros, i fa referència als ingressos percebuts durant l'any anterior.
(p) Dada provisional.
(b) Ruptura en la sèrie temporal.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=ist&n=14074&by=mun
Codi;Literal;Població ocupada;Treballadors de baixa qualificació;Població amb estudis baixos;Població jove sense estudis postobligatoris;Estrangers de països de renda baixa o mitjana;Renda mitjana per persona
171812;Santa Cristina d'Aro;65,6 (b);12,9 (b);13,6 (b);33,8 (b);9,2;13364;
082482;Santa Eulàlia de Ronçana;72,7 (b);11,5 (b);14,2 (b);27,3 (b);2,7;13990;
082508;Santa Margarida de Montbui;61,9 (b);16,8 (b);22,1 (b);45,8 (b);9,8;10462;
082515;Santa Margarida i els Monjos;66,0 (b);15,0 (b);17,8 (b);45,3 (b);12,6;11629;
082592;Santa Maria de Palautordera;67,6 (b);13,2 (b);15,2 (b);28,1 (b);7,3;13327;
082606;Santa Perpètua de Mogoda;67,5 (b);13,8 (b);16,7 (b);33,7 (b);8,8;12783;
081923;Santpedor;73,8 (b);9,2 (b);14,0 (b);19,9 (b);3,9;14522;
171864;Sarrià de Ter;75,6 (b);11,2 (b);14,1 (b);29,3 (b);6,8;13295;
431457;Selva del Camp, la;69,9 (b);12,3 (b);11,5 (b);30,2 (b);6,5;12556;
430445;Sénia, la;51,4 (b);17,3 (b);18,8 (b);36,2 (b);18,2;9616;
082671;Sentmenat;72,3 (b);13,1 (b);13,4 (b);27,9 (b);4,8;13550;
252038;Seu d'Urgell, la;53,4 (b);16,6 (b);16,4 (b);31,0 (b);7,9;10548;
171931;Sils;70,4 (b);15,7 (b);19,2 (b);39,3 (b);10,0;12315;
082704;Sitges;59,4 (b);6,4 (b);9,7 (b);19,5 (b);8,1;17323;
252075;Solsona;68,6 (b);17,6 (b);22,5 (b);33,2 (b);13,6;11671;
082747;Súria;61,1 (b);12,5 (b);19,1 (b);32,2 (b);6,2;14042;
082785;Taradell;74,1 (b);13,9 (b);14,0 (b);27,8 (b);5,8;14401;
431482;Tarragona;59,7 (b);11,0 (b);16,7 (b);33,6 (b);16,4;13433;
252173;Tàrrega;66,5 (b);15,1 (b);17,0 (b);34,7 (b);20,2;11267;
082819;Teià;67,6 (b);5,6 (b);10,6 (b);15,1 (b);4,6;19188;
082798;Terrassa;65,8 (b);12,1 (b);17,1 (b);33,5 (b);11,4;12641;
082824;Tiana;73,3 (b);4,8 (b);7,6 (b);12,3 (b);2,7;19155;
082830;Tona;73,3 (b);15,2 (b);15,9 (b);29,9 (b);6,3;13746;
082845;Tordera;62,5 (b);18,3 (b);17,3 (b);44,1 (b);7,2;11140;
082858;Torelló;69,9 (b);19,5 (b);19,4 (b);35,7 (b);12,1;13748;
431536;Torredembarra;59,3 (b);12,8 (b);17,1 (b);36,6 (b);13,4;11708;
082896;Torrelles de Llobregat;73,5 (b);6,8 (b);9,6 (b);19,1 (b);3,0;15124;
171997;Torroella de Montgrí;62,6 (b);17,3 (b);17,2 (b);40,3 (b);19,8;11316;
431554;Tortosa;59,3 (b);14,8 (b);21,1 (b);37,8 (b);16,3;11557;
172023;Tossa de Mar;60,1 (b);11,2 (b);14,9 (b);39,4 (b);13,1;11830;
252347;Tremp;62,6 (b);17,8 (b);25,0 (b);30,4 (b);14,8;12133;
431567;Ulldecona;49,5 (b);25,2 (b);23,4 (b);49,1 (b);24,8;9698;
082917;Vacarisses;73,5 (b);8,9 (b);9,3 (b);27,5 (b);2,4;13192;
082956;Vallirana;70,5 (b);9,9 (b);13,9 (b);29,3 (b);4,4;13567;
431613;Valls;64,8 (b);15,2 (b);17,8 (b);37,8 (b);14,5;12457;
431628;Vandellòs i l'Hospitalet de l'Infant;63,5 (b);9,9 (b);13,0 (b);28,3 (b);11,3;14105;
431634;Vendrell, el;59,8 (b);15,5 (b);16,9 (b);41,0 (b);12,5;11355;
082981;Vic;66,1 (b);21,9 (b);18,6 (b);38,8 (b);25,3;12633;
172137;Vidreres;65,4 (b);13,5 (b);17,3 (b);42,1 (b);9,7;12161;
252430;Vielha e Mijaran;65,6 (b);8,2 (b);10,5 (b);28,2 (b);17,0;13332;
083015;Viladecans;69,6 (b);12,6 (b);17,4 (b);30,8 (b);6,3;12962;
083008;Viladecavalls;71,5 (b);8,6 (b);11,3 (b);19,1 (b);1,5;15043;
172214;Vilafant;70,0 (b);11,2 (b);15,9 (b);32,5 (b);3,7;12724;
083054;Vilafranca del Penedès;66,9 (b);13,7 (b);19,4 (b);33,9 (b);13,1;12848;
083020;Vilanova del Camí;65,1 (b);14,9 (b);21,1 (b);43,7 (b);5,4;11040;
089024;Vilanova del Vallès;73,7 (b);7,9 (b);9,8 (b);19,8 (b);2,9;15274;
083073;Vilanova i la Geltrú;63,7 (b);10,6 (b);16,3 (b);30,6 (b);8,5;13433;
431711;Vila-seca;63,8 (b);12,0 (b);16,2 (b);40,0 (b);14,3;11603;
082140;Vilassar de Dalt;69,8 (b);10,0 (b);13,0 (b);17,8 (b);4,4;16211;
082191;Vilassar de Mar;69,8 (b);5,8 (b);10,8 (b);17,2 (b);4,8;16348;
;Catalunya;65,0 (b);12,2 (b);16,8 (b);29,7 (b);12,2;13634;

