cod_municipi,any,cod_provincia,nom_provincia,cod_comarca,nom_comarca,nom_municipi,pp_perc,psc_perc,cs_perc,indep_perc,abst_perc,intervencio
08047,2017,8,BARCELONA,7,BAGES,CARDONA,3.6243303,14.560353,20.359282,56.035297,16.154453,0
08048,2012,8,BARCELONA,6,ANOIA,CARME,6.8817205,4.7311826,1.2903225,78.924728,24.433657,0
08048,2015,8,BARCELONA,6,ANOIA,CARME,4.02,5.2199998,4.4200001,79.120003,15.74,0
08048,2017,8,BARCELONA,6,ANOIA,CARME,1.6293279,7.5356417,10.590631,77.393074,13.937283,0
08049,2012,8,BARCELONA,14,BERGUEDÀ,CASSERRES,4.0674605,3.3730159,.69444442,85.416664,23.745317,0
08049,2015,8,BARCELONA,14,BERGUEDÀ,CASSERRES,5.1599998,2.8599999,1.9400001,83.510002,15.61,0
08049,2017,8,BARCELONA,14,BERGUEDÀ,CASSERRES,3.0937216,2.365787,6.1874433,84.986351,15.402299,0
08050,2012,8,BARCELONA,14,BERGUEDÀ,CASTELLAR DEL RIU,.90909094,.90909094,0,92.727272,23.076923,0
08050,2015,8,BARCELONA,14,BERGUEDÀ,CASTELLAR DEL RIU,1.64,2.46,3.28,90.169998,14.69,0
08050,2017,8,BARCELONA,14,BERGUEDÀ,CASTELLAR DEL RIU,.81300813,2.4390244,6.504065,90.243904,8.2089548,0
08051,2012,8,BARCELONA,40,VALLÈS OCCIDENTAL,CASTELLAR DEL VALLÈS,9.1931429,13.644228,7.4944949,52.838943,26.766117,0
08051,2015,8,BARCELONA,40,VALLÈS OCCIDENTAL,CASTELLAR DEL VALLÈS,5.6399999,11.98,16.780001,53.139999,18.690001,0
08051,2017,8,BARCELONA,40,VALLÈS OCCIDENTAL,CASTELLAR DEL VALLÈS,3.0252209,11.971876,23.408373,52.447914,14.387182,0
08052,2012,8,BARCELONA,14,BERGUEDÀ,CASTELLAR DE N'HUG,6.4814816,0,0,87.962959,22.857143,0
08052,2015,8,BARCELONA,14,BERGUEDÀ,CASTELLAR DE N'HUG,2.46,0,1.64,87.699997,12.86,0
08052,2017,8,BARCELONA,14,BERGUEDÀ,CASTELLAR DE N'HUG,4.8780489,2.4390244,4.8780489,86.178864,10.869565,0
08053,2012,8,BARCELONA,7,BAGES,CASTELLBELL I EL VILAR,9.9715099,15.669516,4.7293448,57.378918,36.753338,0
08053,2015,8,BARCELONA,7,BAGES,CASTELLBELL I EL VILAR,8.0500002,17.059999,12.22,50.98,25.030001,0
08053,2017,8,BARCELONA,7,BAGES,CASTELLBELL I EL VILAR,3.0316541,13.152028,24.164066,52.920197,20.9564,0
08054,2012,8,BARCELONA,40,VALLÈS OCCIDENTAL,CASTELLBISBAL,12.752,15.472,10.208,40.495998,27.718258,1
